Name,Price
ICICIBANK,655.15
LT,"1,515.00"
UPL,828.90
TATASTEEL,"1,238.00"
TATAMOTORS,310.00
HDFC,"2,496.00"
RELIANCE,"2,100.00"
BHARTIARTL,533.55
BAJAJ-AUTO,"3,985.00"
HEROMOTOCO,"2,919.00"
AXISBANK,759.00
ASIANPAINT,"3,020.00"
MARUTI,"7,520.00"
TCS,"3,214.00"
M&M,777.90
TATACONSUM,780.90
KOTAKBANK,"1,743.00"
SBILIFE,"1,040.00"
HDFCBANK,"1,496.10"
POWERGRID,230.40
SBIN,430.00
TITAN,"1,730.00"
BAJFINANCE,"6,185.00"
EICHERMOT,"2,725.00"
HINDALCO,390.50
INFY,"1,556.40"
INDUSINDBK,"1,055.00"
BRITANNIA,"3,488.75"
HDFCLIFE,686.50
JSWSTEEL,698.00
TECHM,"1,062.00"
NESTLEIND,"17,730.00"
ITC,202.00
HINDUNILVR,"2,455.00"
SHREECEM,"28,150.00"
COALINDIA,147.00
WIPRO,528.00
BPCL,452.75
ONGC,119.00
HCLTECH,983.00
ADANIPORTS,720.00
SUNPHARMA,670.30
NTPC,118.15
GRASIM,"1,540.00"
DIVISLAB,"4,600.00"
CIPLA,962.20
ULTRACEMCO,"7,110.00"
IOC,107.35
DRREDDY,"5,494.30"
BAJAJFINSV,"12,902.40"
